title,author,isbn,available
100 anios de soledad,Gabriel Garcia Marquez,1234567890,1
El principito,Saint-Exupery,1234567891,1
El quijote de la mancha,Miguel de Cervantes Saavedra,1234567892,1
Don Quijote de la Mancha,Miguel de Cervantes,1234567900,1
La Odisea,Homero,1234567901,1
Crimen y castigo,Fiódor Dostoievski,1234567902,1
1984,George Orwell,1234567903,1
Rebelión en la granja,George Orwell,1234567904,1
Cien años de soledad,Gabriel García Márquez,1234567905,1
El retrato de Dorian Gray,Oscar Wilde,1234567906,1
Los miserables,Victor Hugo,1234567907,1
Drácula,Bram Stoker,1234567908,1
El Conde de Montecristo,Alexandre Dumas,1234567909,1
